name,city,note,address
云和面馆,上海，长宁,推荐蟹黄和蟹脚双拼面（单蟹黄会太腻），按时令会出三虾面（虾籽、虾脑、虾仁），如果遇上一定要试！小菜里推荐：爆鳝丝，酒香草头，炝双鲜,华山路1603号
晓燕生煎,上海，长宁,半发面浑水派生煎，配一碗牛肉汤咖喱汤！店里也卖锅贴。,定西路1226号
明呈黄鱼面,上海，徐汇,推荐野生小黄鱼面，配一份黄鱼春卷。黄鱼去刺。,斜土路1370号
崴海渔村,上海，闵行,油淋双鲜，天鹅蛋，鲅鱼水饺，其实每个菜都好吃，看当日有什么时令。,虹梅路2791号
宁海食府,宁波,值得为一顿饭专程开一趟宁波。必点：膏蟹，血蛤，炸汤圆。上海虹桥开了分店。,
陆稿荐,嘉兴,值得为一道醉虾（活醉，河虾）开一趟嘉兴。推荐：酱鸭，南湖菱，酱方（红烧肉）,中基路98号
岩蒜炒年糕 （出了温岭就吃不到的美食）,台州，石塘,当年人生第一次在温岭的石塘人家吃到岩蒜年糕，惊为天物，从此念念不忘。,温岭很多餐厅都有这道菜； 石塘人家：温岭白岭头路77号
三海里,福建某海中小岛,世外桃源般的存在。小岛近宁德，不通陆路，需坐船上岛。小岛风景极美，岛上无餐厅，无超市，无车，一些本岛居民，仅一家民宿。下午4pm之后，早上9am之前，没有船只上岛，住在岛上尽享整个海岛的宁静和美景。民宿包三餐，但三餐吃什么完全取决于老板今天在海上买到什么，但从不重样。如果和老板相见恨晚，兴趣相投，老板会带着你在日落时，开上快艇，去海上渔排买海鲜，可以淘到渔民们当日的特别收获，老板什么海鲜都会做。世外桃源的日子。,宁德斗帽岛
